Subject Code,Subject Title,Subject Group Code,Component Code,For Every (Week),Start Week,End Week,Day of Week,Start Time,End Time,Venue,Teaching Staff,Remark
ABCT1101,INTRODUCTORY LIFE SCIENCE,"1001, 1002, 1003, 1009, 1102, 1103, 1104, 1107, 1113, 1114",LEC001,1,1,13,Sat,8:30,10:20,Z209,"LEE, terence KW, Yanxiang Zhao",
ABCT1101,INTRODUCTORY LIFE SCIENCE,"1001, 1002, 1003, 1009, 1102, 1103, 1104, 1107, 1113, 1114",TUT001,1,1,13,Sat,10:30,11:20,Z209,"Yanxiang Zhao, wai-ting wong",
ABCT1101,INTRODUCTORY LIFE SCIENCE,"1001, 1002, 1003, 1009, 1102, 1103, 1104, 1107, 1113, 1114",TUT002,1,1,13,Sat,10:30,11:20,Z205,"LEE, terence KW, wai-ting wong",
ABCT1102,GENERAL BIOLOGY,"1001, 1002, 1003, 1009, 1101, 1102, 1103, 1104",LEC001,1,1,13,Sat,8:30,10:20,V322,"LEUNG Yun Chung, ZHAO, Q",
ABCT1102,GENERAL BIOLOGY,"1001, 1002, 1003, 1009, 1101, 1102, 1103, 1104",TUT001,1,1,13,Sat,10:30,11:20,V322,"Iris L K Wong, LEUNG Yun Chung, ZHAO, Q",
ABCT1301,CHEMISTRY AND MODERN LIVING,1114,LTL001,1,1,13,Mon,15:30,18:20,"N003, Y1315","HUANG, Bolong, LO, benedict TW, Yanjuan Gu",
ABCT1700,INTRODUCTION TO CHEMISTRY,"1001, 1002, 1003, 1009, 1102, 1103, 1104, 1112, 1113",LEC001,1,1,13,Fri,12:30,14:20,ST111#,"HO, Cheuk Lam, LEE, Lawrence YS",
ABCT1700,INTRODUCTION TO CHEMISTRY,"1001, 1002, 1003, 1009, 1102, 1103, 1104, 1112, 1113",TUT001,1,1,13,Mon,17:30,18:20,ST111#,"GENG, Ping, HO, Cheuk Lam, LEE, Lawrence YS",
ABCT1741,GENERAL CHEMISTRY I,"1009, 1101, 1102, 1103, 1104, 1112",LEC001,1,1,13,Wed,14:30,16:20,ST111#,Ga-lai LAW,
ABCT1741,GENERAL CHEMISTRY I,"1009, 1101, 1102, 1103, 1104, 1112",TUT001,1,1,13,Mon,11:30,12:20,PQ305,"GENG, Ping, Ga-lai LAW, Wesley Chan",
